panel,trial_type,trial_number,y,lo,hi
adult behaviour (s),familiar,1,3.173741275743707,3.1153582917478118,3.232124259739603
adult behaviour (s),familiar,2,2.189406364749082,2.1429645037704033,2.235848225727761
adult behaviour (s),familiar,3,2.085444482640083,2.039843939116552,2.1310450261636134
adult behaviour (s),familiar,4,2.0727512650836903,2.0217716096137286,2.1237309205536516
adult behaviour (s),familiar,5,2.010005885015844,1.957743023019817,2.062268747011872
adult behaviour (s),familiar,6,2.0095085621092688,1.950851145243616,2.0681659789749216
adult behaviour (s),familiar,7,1.9564290945406126,1.8977475650389763,2.015110624042249
adult behaviour (s),familiar,8,1.947493741907639,1.880719001526993,2.0142684822882853
adult behaviour (s),familiar,9,1.9437540473225403,1.8582866830177074,2.0292214116273732
adult behaviour (s),familiar,10,2.0083656542056074,1.8880030651140274,2.1287282432971875
adult behaviour (s),familiar,11,2.023081967213115,1.7864210293657992,2.2597429050604303
adult behaviour (s),novel,2,2.7001493506493506,2.4895463058897453,2.9107523954089563
adult behaviour (s),novel,3,2.742453781512605,2.54569921267329,2.93920835035192
adult behaviour (s),novel,4,2.541703125,2.353372848775105,2.730033401224895
adult behaviour (s),novel,5,2.5441591836734694,2.3741678150566936,2.7141505522902447
adult behaviour (s),novel,6,2.4807381889763778,2.3235398285940025,2.637936549358753
adult behaviour (s),novel,7,2.6773046511627907,2.4812119940232065,2.8733973083023754
adult behaviour (s),novel,8,2.625249452954048,2.430783213630705,2.819715692277391
adult behaviour (s),novel,9,2.768987525987526,2.560875685943819,2.9770993660312333
adult behaviour (s),novel,10,2.7394003944773178,2.546599455425882,2.9322013335287536
adult behaviour (s),novel,11,2.7173333333333334,2.513480608720764,2.9211860579459032
implemented EIG  (R2 = 0.22),familiar,1,32.739583333333336,,
implemented EIG  (R2 = 0.22),familiar,2,18.8515625,,
implemented EIG  (R2 = 0.22),familiar,3,16.447916666666668,,
implemented EIG  (R2 = 0.22),familiar,4,13.276041666666666,,
implemented EIG  (R2 = 0.22),familiar,5,12.643229166666666,,
implemented EIG  (R2 = 0.22),familiar,6,11.432291666666666,,
implemented EIG  (R2 = 0.22),familiar,7,10.619791666666666,,
